Major Head,Sub-Major Head,Minor Head,Sub-Minor Head,Detailed Head,Object Head,Voucher Head,Scheme,Area,Voted/Charged,row_id,Major Head Code,Sub-Major Head Code,Minor Head Code,Sub-Minor Head Code,Detailed Head Code,Object Head Code,Voucher Head Code,Scheme Code,Area Code,Voted/Charged Code,file_id,level_2_code,level_3_code,level_4_code,level_5_code,level_6_code,level_7_code,level_8_code,level_9_code,level_10_code,budget_for,year
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Salaries,Medical Allowance,Establishmet Expenditure,General Area,Voted,24,2014,0,108,0,0,1,6,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__1,2014__0__108__0__0__1__6,2014__0__108__0__0__1__6__ee,2014__0__108__0__0__1__6__ee__ga,2014__0__108__0__0__1__6__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,General Area,Voted,25,2014,0,108,0,0,1,8,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__1,2014__0__108__0__0__1__8,2014__0__108__0__0__1__8__ee,2014__0__108__0__0__1__8__ee__ga,2014__0__108__0__0__1__8__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Salaries,Arrear Salary/DA,Establishmet Expenditure,General Area,Voted,26,2014,0,108,0,0,1,12,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__1,2014__0__108__0__0__1__12,2014__0__108__0__0__1__12__ee,2014__0__108__0__0__1__12__ee__ga,2014__0__108__0__0__1__12__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Wages,Others,Establishmet Expenditure,General Area,Voted,27,2014,0,108,0,0,2,99,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__2,2014__0__108__0__0__2__99,2014__0__108__0__0__2__99__ee,2014__0__108__0__0__2__99__ee__ga,2014__0__108__0__0__2__99__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Voted,28,2014,0,108,0,0,3,0,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__3,2014__0__108__0__0__3__0,2014__0__108__0__0__3__0__ee,2014__0__108__0__0__3__0__ee__ga,2014__0__108__0__0__3__0__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Office Expenses,Electricity and Water Charge,Establishmet Expenditure,General Area,Voted,29,2014,0,108,0,0,4,3,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__4,2014__0__108__0__0__4__3,2014__0__108__0__0__4__3__ee,2014__0__108__0__0__4__3__ee__ga,2014__0__108__0__0__4__3__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Office Expenses,Others,Establishmet Expenditure,General Area,Voted,30,2014,0,108,0,0,4,99,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__4,2014__0__108__0__0__4__99,2014__0__108__0__0__4__99__ee,2014__0__108__0__0__4__99__ee__ga,2014__0__108__0__0__4__99__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,"Rents, Rates & Taxes / Royalty",Rents for Hired Building,Establishmet Expenditure,General Area,Voted,31,2014,0,108,0,0,6,1,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__6,2014__0__108__0__0__6__1,2014__0__108__0__0__6__1__ee,2014__0__108__0__0__6__1__ee__ga,2014__0__108__0__0__6__1__ee__ga__v,justice,2018-19
Taxes on Vehicles,NULL,Other Expenditure,Motor Accident Claim,NULL,Salaries,Pay,Establishmet Expenditure,General Area,Voted,32,2041,0,800,3880,0,1,1,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2041__0,2041__0__800,2041__0__800__3880,2041__0__800__3880__0,2041__0__800__3880__0__1,2041__0__800__3880__0__1__1,2041__0__800__3880__0__1__1__ee,2041__0__800__3880__0__1__1__ee__ga,2041__0__800__3880__0__1__1__ee__ga__v,justice,2018-19
Taxes on Vehicles,NULL,Other Expenditure,Motor Accident Claim,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Voted,33,2041,0,800,3880,0,1,2,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2041__0,2041__0__800,2041__0__800__3880,2041__0__800__3880__0,2041__0__800__3880__0__1,2041__0__800__3880__0__1__2,2041__0__800__3880__0__1__2__ee,2041__0__800__3880__0__1__2__ee__ga,2041__0__800__3880__0__1__2__ee__ga__v,justice,2018-19
Taxes on Vehicles,NULL,Other Expenditure,Motor Accident Claim,NULL,Salaries,Leave Travel Concession,Establishmet Expenditure,General Area,Voted,34,2041,0,800,3880,0,1,5,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2041__0,2041__0__800,2041__0__800__3880,2041__0__800__3880__0,2041__0__800__3880__0__1,2041__0__800__3880__0__1__5,2041__0__800__3880__0__1__5__ee,2041__0__800__3880__0__1__5__ee__ga,2041__0__800__3880__0__1__5__ee__ga__v,justice,2018-19
Taxes on Vehicles,NULL,Other Expenditure,Motor Accident Claim,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,General Area,Voted,35,2041,0,800,3880,0,1,8,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2041__0,2041__0__800,2041__0__800__3880,2041__0__800__3880__0,2041__0__800__3880__0__1,2041__0__800__3880__0__1__8,2041__0__800__3880__0__1__8__ee,2041__0__800__3880__0__1__8__ee__ga,2041__0__800__3880__0__1__8__ee__ga__v,justice,2018-19
Taxes on Vehicles,NULL,Other Expenditure,Motor Accident Claim,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Voted,36,2041,0,800,3880,0,3,0,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2041__0,2041__0__800,2041__0__800__3880,2041__0__800__3880__0,2041__0__800__3880__0__3,2041__0__800__3880__0__3__0,2041__0__800__3880__0__3__0__ee,2041__0__800__3880__0__3__0__ee__ga,2041__0__800__3880__0__3__0__ee__ga__v,justice,2018-19
Administration of Justice,NULL,High Courts,Judges,NULL,Salaries,Others,Establishmet Expenditure,General Area,Charged,37,2014,0,102,304,0,1,99,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__304,2014__0__102__304__0,2014__0__102__304__0__1,2014__0__102__304__0__1__99,2014__0__102__304__0__1__99__ee,2014__0__102__304__0__1__99__ee__ga,2014__0__102__304__0__1__99__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Judges,NULL,Salaries,House Rent Allowance,Establishmet Expenditure,General Area,Charged,38,2014,0,102,304,0,1,7,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__304,2014__0__102__304__0,2014__0__102__304__0__1,2014__0__102__304__0__1__7,2014__0__102__304__0__1__7__ee,2014__0__102__304__0__1__7__ee__ga,2014__0__102__304__0__1__7__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Establishment,NULL,Salaries,Others,Establishmet Expenditure,General Area,Charged,39,2014,0,102,152,0,1,99,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__152,2014__0__102__152__0,2014__0__102__152__0__1,2014__0__102__152__0__1__99,2014__0__102__152__0__1__99__ee,2014__0__102__152__0__1__99__ee__ga,2014__0__102__152__0__1__99__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Establishment,NULL,Salaries,Medical Allowance,Establishmet Expenditure,General Area,Charged,40,2014,0,102,152,0,1,6,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__152,2014__0__102__152__0,2014__0__102__152__0__1,2014__0__102__152__0__1__6,2014__0__102__152__0__1__6__ee,2014__0__102__152__0__1__6__ee__ga,2014__0__102__152__0__1__6__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Establishment,NULL,Salaries,House Rent Allowance,Establishmet Expenditure,General Area,Charged,41,2014,0,102,152,0,1,7,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__152,2014__0__102__152__0,2014__0__102__152__0__1,2014__0__102__152__0__1__7,2014__0__102__152__0__1__7__ee,2014__0__102__152__0__1__7__ee__ga,2014__0__102__152__0__1__7__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Establishment,NULL,"Rents, Rates & Taxes / Royalty",Rates &Taxes,Establishmet Expenditure,General Area,Charged,42,2014,0,102,152,0,6,2,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__152,2014__0__102__152__0,2014__0__102__152__0__6,2014__0__102__152__0__6__2,2014__0__102__152__0__6__2__ee,2014__0__102__152__0__6__2__ee__ga,2014__0__102__152__0__6__2__ee__ga__c,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Medical Allowance,Establishmet Expenditure,General Area,Voted,43,2014,0,105,0,0,1,6,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__6,2014__0__105__0__0__1__6__ee,2014__0__105__0__0__1__6__ee__ga,2014__0__105__0__0__1__6__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,House Rent Allowance,Establishmet Expenditure,General Area,Voted,44,2014,0,105,0,0,1,7,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__7,2014__0__105__0__0__1__7__ee,2014__0__105__0__0__1__7__ee__ga,2014__0__105__0__0__1__7__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Salaries,Others,Establishmet Expenditure,General Area,Voted,45,2014,0,108,0,0,1,99,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__1,2014__0__108__0__0__1__99,2014__0__108__0__0__1__99__ee,2014__0__108__0__0__1__99__ee__ga,2014__0__108__0__0__1__99__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Salaries,House Rent Allowance,Establishmet Expenditure,General Area,Voted,46,2014,0,108,0,0,1,7,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__1,2014__0__108__0__0__1__7,2014__0__108__0__0__1__7__ee,2014__0__108__0__0__1__7__ee__ga,2014__0__108__0__0__1__7__ee__ga__v,justice,2018-19
Taxes on Vehicles,NULL,Other Expenditure,Motor Accident Claim,NULL,Salaries,Medical Allowance,Establishmet Expenditure,General Area,Voted,47,2041,0,800,3880,0,1,6,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2041__0,2041__0__800,2041__0__800__3880,2041__0__800__3880__0,2041__0__800__3880__0__1,2041__0__800__3880__0__1__6,2041__0__800__3880__0__1__6__ee,2041__0__800__3880__0__1__6__ee__ga,2041__0__800__3880__0__1__6__ee__ga__v,justice,2018-19
Taxes on Vehicles,NULL,Other Expenditure,Motor Accident Claim,NULL,Salaries,House Rent Allowance,Establishmet Expenditure,General Area,Voted,48,2041,0,800,3880,0,1,7,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2041__0,2041__0__800,2041__0__800__3880,2041__0__800__3880__0,2041__0__800__3880__0__1,2041__0__800__3880__0__1__7,2041__0__800__3880__0__1__7__ee,2041__0__800__3880__0__1__7__ee__ga,2041__0__800__3880__0__1__7__ee__ga__v,justice,2018-19
Taxes on Vehicles,NULL,Other Expenditure,Motor Accident Claim,NULL,Salaries,Arrear Salary/DA,Establishmet Expenditure,General Area,Voted,49,2041,0,800,3880,0,1,12,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2041__0,2041__0__800,2041__0__800__3880,2041__0__800__3880__0,2041__0__800__3880__0__1,2041__0__800__3880__0__1__12,2041__0__800__3880__0__1__12__ee,2041__0__800__3880__0__1__12__ee__ga,2041__0__800__3880__0__1__12__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Pay,Establishmet Expenditure,Karbi Anglong Non-entrusted,Voted,50,2014,0,105,0,0,1,1,EE,KN,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__1,2014__0__105__0__0__1__1__ee,2014__0__105__0__0__1__1__ee__kn,2014__0__105__0__0__1__1__ee__kn__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,Karbi Anglong Non-entrusted,Voted,51,2014,0,105,0,0,1,2,EE,KN,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__2,2014__0__105__0__0__1__2__ee,2014__0__105__0__0__1__2__ee__kn,2014__0__105__0__0__1__2__ee__kn__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Others,Establishmet Expenditure,Karbi Anglong Non-entrusted,Voted,52,2014,0,105,0,0,1,99,EE,KN,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__99,2014__0__105__0__0__1__99__ee,2014__0__105__0__0__1__99__ee__kn,2014__0__105__0__0__1__99__ee__kn__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Leave Travel Concession,Establishmet Expenditure,Karbi Anglong Non-entrusted,Voted,53,2014,0,105,0,0,1,5,EE,KN,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__5,2014__0__105__0__0__1__5__ee,2014__0__105__0__0__1__5__ee__kn,2014__0__105__0__0__1__5__ee__kn__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Medical Allowance,Establishmet Expenditure,Karbi Anglong Non-entrusted,Voted,54,2014,0,105,0,0,1,6,EE,KN,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__6,2014__0__105__0__0__1__6__ee,2014__0__105__0__0__1__6__ee__kn,2014__0__105__0__0__1__6__ee__kn__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,House Rent Allowance,Establishmet Expenditure,Karbi Anglong Non-entrusted,Voted,55,2014,0,105,0,0,1,7,EE,KN,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__7,2014__0__105__0__0__1__7__ee,2014__0__105__0__0__1__7__ee__kn,2014__0__105__0__0__1__7__ee__kn__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,Karbi Anglong Non-entrusted,Voted,56,2014,0,105,0,0,1,8,EE,KN,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__8,2014__0__105__0__0__1__8__ee,2014__0__105__0__0__1__8__ee__kn,2014__0__105__0__0__1__8__ee__kn__v,justice,2018-19
