"Grant Number","Actuals 2019-20","Budget Estimates 2020-21","Revised Estimates 2020-21","Budget Estimates 2021-22"
"Grant No. 38 - Welfare of SC/ST & OBC","99001.69","170821.41","200589.48","122454.69"
"Grant No. 39 - Social Security, Welfare and Nutrition","220783.6","215131.7","311176.23","201161.35"
"Grant No. 4 - Elections","14675.31","27993.12","39946.32","17289.83"
"Grant No. 40 - Social Security & Welfare (Freedom Fighter)","3183.46","3803.63","3803.63","3426.1"
"Grant No. 41 - Natural Calamities","56001.08","221067.34","264667.63","232840.9"
"Grant No. 42 - Other Social Services","2371.91","20943.99","25637.42","7709.97"
"Grant No. 43 - Co-Operation","8654.23","13008.92","22247.97","15819.98"
"Grant No. 44 - North Eastern Council Scheme","42217.53","182408.42","191464.84","134291.18"
"Grant No. 45 - Census, Survey & Statistics","4202.35","5526.11","5764.91","4440.46"
"Grant No. 46 - Weights & Measures","1414.91","2083.81","2925.75","2045.63"
"Grant No. 47 - Trade advisor","87.75","79.56","133.81","130.4"
"Grant No. 48 - Agriculture","153930.11","140626.21","240736.84","215947.16"
"Grant No. 49 - Irrigation","68164.93","159208.14","171965","124585.46"
"Grant No. 5 - Sales Tax & Other Tax","53319.83","46458.76","46922.6","75652.61"
"Grant No. 50 - Other Special Area Programmes","7624.75","7117.31","7127.31","6922.73"
"Grant No. 51 - Soil & Water Conservation","15554.32","18571.35","33212.32","24520.4"
"Grant No. 52 - Animal Husbandry","28947.23","37765.31","43249.43","51022.22"
"Grant No. 53 - Dairy Development","2260.1","3095.75","3385.18","8487.05"
"Grant No. 54 - Fisheries","7829.75","9708.49","15345.31","12261.88"
"Grant No. 55 - Forestry & Wildlife","45643.19","90730.09","102208.48","73012.5"
"Grant No. 56 - Rural Development (Panchayat)","404139.59","183034.58","221839.55","281675.24"
"Grant No. 57 - Rural Development","282314.14","367765.37","643236.89","520694.74"
"Grant No. 58 - Industries","1641.55","15942.45","18156.46","16612.19"
"Grant No. 59 - Village & Small Industries Sericulture and Weaving","26280.77","28934.62","30970.73","37718.72"
"Grant No. 6 - Land Revenue","28998.88","34050.97","37399.35","36606.92"
"Grant No. 60 - Cottage Industries","5481.29","5988.3","7579.75","5642.8"
"Grant No. 61 - Mines & Minerals","1478.07","2389.55","7420.05","6337.26"
"Grant No. 62 - Power (Electricity)","180658.18","249807.73","443080.76","439496.24"
"Grant No. 63 - Water Resources","97119.21","94882.96","104861.85","89356.81"
"Grant No. 64 - Roads & Bridges","909256.59","924201.07","1142484.02","895364.98"
"Grant No. 65 - Tourism","10387.74","12833.92","16207.23","7424.66"
"Grant No. 66 - Compensation & Assignment To Local Bodies & Panchayati Raj Institutions","36622.73","53955.2","59440.56","79487.55"
"Grant No. 67 - Horticulture","8609.78","10965.91","25580.33","18075.94"
"Grant No. 68 - Loans to Govt. Servant etc","0","0","0","1"
"Grant No. 69 - Scientific Services & Research","2872.86","6587.52","7611.58","3218.6"
"Grant No. 7 - Stamps and Registration","3264.08","18796.53","18874.53","10084.34"
"Grant No. 70 - Hill Areas","297.62","1995.85","2781.85","2541.93"
"Grant No. 71 - Education (Elementary,Scy.Etc.)","1167477.13","1387732.82","1509269.4","1452230.14"
"Grant No. 72 - Social Security & Welfare","297.37","1901.9","1901.9","1521.52"
"Grant No. 73 - Urban Development (GDD)","35337.6","78329.1","113015.09","110353.4"
"Grant No. 74 - Sports & Youth Welfare","17907.12","17440.2","19246.97","14311.51"
"Grant No. 75 - Information & Technology","2906.83","4939.86","8391.45","3064.89"
"Grant No. 76 - Karbi-Anglong Autonomous Council","122348.35","150481.1","173569.7169","150349.75"
"Grant No. 77 - N.C. Hills Autonomous Council","45856.74","63042.9","80080.26","67966.99"
"Grant No. 78 - Bodoland Territorial Council","390852.27","314004.77","322549.84","303612.08"
"Grant No. 8 - Excise & Prohibition","5761.09","7336.59","8574.72","7254.4"
"Grant No. 9 - Transport Services","42310.14","54011.54","64497.72","48874.08"
"Grant No. C1 - Public Service Commission","1365.78","2081.41","2081.41","2169.59"
"Grant No. C2 - Head of State","743.7","1068.38","1182.38","1125.78"
"Grant No. C3 - Appropriation to Contingency Fund","10000","0","0","0"
"Grant No. PD - Public Debt And Servicing Of Debt","788817.73","831024.14","831096.85","1104584.8"
