"Grant Number","Actuals 2020-21","Budget Estimates 2021-22","Revised Estimates 2021-22","Budget Estimates 2022-23"
"Grant No. 64 - Roads & Bridges","820471.84","895364.98","1156451.18","894233.86"
"Grant No. 65 - Tourism","5426.25","7424.66","8099.11","11309.15"
"Grant No. 66 - Compensation & Assignment To Local Bodies & Panchayati Raj Institutions","37694.9","79487.55","84692.55","72627"
"Grant No. 67 - Horticulture","9327.67","18075.94","25936.78","28898.35"
"Grant No. 68 - Loans to Govt. Servant etc","0","1","91","0.01"
"Grant No. 69 - Science, Technology and Climate Change","3352.01","3218.6","3730.28","5657.38"
"Grant No. 7 - Stamps and Registration","5118.67","10084.34","10084.84","10666.06"
"Grant No. 70 - Hill Areas","170.54","2541.93","3175.93","1080.25"
"Grant No. 71 - Education (Elementary,Scy.Etc.)","1178193.18","1452230.14","1632097.72","1648649.66"
"Grant No. 72 - Social Security & Welfare","1173.28","1521.52","1521.52","1901.44"
"Grant No. 73 - Housing & Urban Affairs (Guwahati Development)","16785.53","110353.4","115648.9","96284.9"
"Grant No. 74 - Sports & Youth Welfare","9984.47","14311.51","17816.87","22659.72"
"Grant No. 75 - Information & Technology","4435.93","3064.89","3350.78","10030.04"
"Grant No. 76 - Karbi-Anglong Autonomous Council","149597.396","150349.75","169722.5","183169.94"
"Grant No. 77 - N.C. Hills Autonomous Council","63251.56","67966.99","71076.14","100254.24"
"Grant No. 78 - Bodoland Territorial Council","254300.51","303612.08","306602.41","350725.07"
"Grant No. 79 - Welfare of Bodoland","0","0","0","500"
"Grant No. 8 - Excise & Prohibition","6223.49","7254.4","7254.4","9050.4"
"Grant No. 80 - Indigenous And Tribal Faith And Culture","1508.49","3516.18","4079.37","9665.03"
"Grant No. 9 - Transport Services","41410.13","48874.08","78328.34","55388.47"
"Grant No. C1 - Public Service Commission","1455.67","2169.59","2394.59","2458.07"
"Grant No. C2 - Head of State","726.86","1125.78","1167.78","1063.82"
"Grant No. C3 - Appropriation to Contingency Fund","0","0","0","180000"
"Grant No. PD - Public Debt And Servicing Of Debt","744715.64","1104584.8","1104584.8","1125638.84"
